Shoulder Flex/Ext (Unilateral);;;;;;;;;;;;;;;;;;;
Model;Rep;Left Peak Frame;Left Peak Time (s);Left Peak (°);Left Valley Frame;Left Valley Time (s);Left Valley (°);ROM (°);Right Peak Frame;Right Peak Time (s);Right Peak (°);Right Valley Frame;Right Valley Time (s);Right Valley (°);ROM (°);;;;
Complete;2;2115;21.15;76.71;2285;22.85;-6.6;83.31;1675;16.75;91.17;1901;19.01;3.73;87.44;;;;
Complete;3;2488;24.88;80.37;2642;26.42;-5.48;85.86;2067;20.67;96.22;2251;22.51;1.35;94.87;;;;
Complete;4;2836;28.36;80.3;2993;29.93;-5.19;85.49;2408;24.08;95.79;2610;26.1;6.71;89.08;;;;
Complete;5;3190;31.9;81.8;3320;33.2;-0.9;82.7;2760;27.6;89.26;2946;29.46;5.03;84.23;;;;
Complete;6;3560;35.6;75.89;3733;37.33;-6.06;81.95;3087;30.87;90.76;3266;32.66;4.51;86.24;;;;
C7;1;1762;17.62;77.14;1901;19.01;-6.45;83.59;1293;12.93;87.57;1508;15.08;8.24;79.33;;;;
C7;2;2115;21.15;79.79;2258;22.58;-3.22;83.01;1675;16.75;91.71;1901;19.01;7.11;84.6;;;;
C7;3;2488;24.88;83.06;2643;26.43;-0.29;83.35;2066;20.66;95;2242;22.42;3.79;91.21;;;;
C7;4;2836;28.36;81.95;2989;29.89;-3.3;85.24;2408;24.08;95.81;2563;25.63;11.43;84.39;;;;
C7;5;3190;31.9;83.15;3387;33.87;0.69;82.45;2775;27.75;90.7;2946;29.46;9.52;81.19;;;;
C7;6;3560;35.6;75.14;3722;37.22;-3.95;79.09;3088;30.88;91.81;3266;32.66;7.76;84.05;;;;
NOT_C7;1;1763;17.63;69.12;1893;18.93;-19.25;88.37;1280;12.8;91.82;1462;14.62;6.11;85.71;;;;
NOT_C7;2;2115;21.15;70.74;2258;22.58;-14.9;85.64;1681;16.81;97.67;1901;19.01;6.31;91.36;;;;
NOT_C7;3;2484;24.84;75.18;2643;26.43;-13.1;88.28;2066;20.66;101.17;2251;22.51;4.79;96.38;;;;
NOT_C7;4;2833;28.33;75.94;2989;29.89;-15.33;91.27;2407;24.07;101.3;2609;26.09;7.52;93.77;;;;
NOT_C7;5;3190;31.9;75.51;3320;33.2;-7.21;82.73;2768;27.68;93.22;2946;29.46;4.47;88.75;;;;
NOT_C7;6;3560;35.6;73.65;3733;37.33;-12.5;86.15;3088;30.88;93.56;3266;32.66;4.73;88.83;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Elbow Flex/Ext (Unilateral);;;;;;;;;;;;;;;;;;;
Model;Rep;Left Peak Frame;Left Peak Time (s);Left Peak (°);Left Valley Frame;Left Valley Time (s);Left Valley (°);ROM (°);Right Peak Frame;Right Peak Time (s);Right Peak (°);Right Valley Frame;Right Valley Time (s);Right Valley (°);ROM (°);;;;
Complete;1;807;8.07;135.22;1051;10.51;-1.57;136.79;824;8.24;135.08;948;9.48;0.57;134.51;;;;
Complete;2;1251;12.51;133.56;1459;14.59;-4.38;137.95;1165;11.65;134.44;1335;13.35;1.57;132.87;;;;
Complete;3;1666;16.66;134.51;1821;18.21;-0.8;135.32;1550;15.5;136.82;1706;17.06;0.8;136.02;;;;
Complete;4;2012;20.12;133.51;2184;21.84;-1.84;135.34;1897;18.97;137.07;2067;20.67;0.31;136.75;;;;
Complete;5;2357;23.57;133.58;2522;25.22;-1.6;135.18;2243;22.43;134.3;2420;24.2;1.4;132.89;;;;
Complete;6;2705;27.05;133.59;2867;28.67;-0.04;133.63;2591;25.91;135.36;2771;27.71;2.52;132.84;;;;
Complete;7;3050;30.5;133.41;3197;31.97;-0.78;134.19;2942;29.42;135.49;3103;31.03;1.83;133.66;;;;
C7;1;807;8.07;135.22;1051;10.51;-1.57;136.79;824;8.24;135.08;948;9.48;0.57;134.51;;;;
C7;2;1251;12.51;133.56;1459;14.59;-4.38;137.95;1165;11.65;134.44;1335;13.35;1.57;132.87;;;;
C7;3;1666;16.66;134.51;1821;18.21;-0.8;135.32;1550;15.5;136.82;1706;17.06;0.8;136.02;;;;
C7;4;2012;20.12;133.51;2184;21.84;-1.84;135.34;1897;18.97;137.07;2067;20.67;0.31;136.75;;;;
C7;5;2357;23.57;133.58;2522;25.22;-1.6;135.18;2243;22.43;134.3;2420;24.2;1.4;132.89;;;;
C7;6;2705;27.05;133.59;2867;28.67;-0.04;133.63;2591;25.91;135.36;2771;27.71;2.52;132.84;;;;
C7;7;3050;30.5;133.41;3197;31.97;-0.78;134.19;2942;29.42;135.49;3103;31.03;1.83;133.66;;;;
NOT_C7;1;807;8.07;135.22;1051;10.51;-1.57;136.79;824;8.24;135.08;948;9.48;0.57;134.51;;;;
NOT_C7;2;1251;12.51;133.56;1459;14.59;-4.38;137.95;1165;11.65;134.44;1335;13.35;1.57;132.87;;;;
NOT_C7;3;1666;16.66;134.51;1821;18.21;-0.8;135.32;1550;15.5;136.82;1706;17.06;0.8;136.02;;;;
NOT_C7;4;2012;20.12;133.51;2184;21.84;-1.84;135.34;1897;18.97;137.07;2067;20.67;0.31;136.75;;;;
NOT_C7;5;2357;23.57;133.58;2522;25.22;-1.6;135.18;2243;22.43;134.3;2420;24.2;1.4;132.89;;;;
NOT_C7;6;2705;27.05;133.59;2867;28.67;-0.04;133.63;2591;25.91;135.36;2771;27.71;2.52;132.84;;;;
NOT_C7;7;3050;30.5;133.41;3197;31.97;-0.78;134.19;2942;29.42;135.49;3103;31.03;1.83;133.66;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Trunk Extended Lateral Inclination (Bilateral);;;;;;;;;;;;;;;;;;;
Model;Rep;Left Peak Frame;Left Peak Time (s);Left Peak (°);Left Valley Frame;Left Valley Time (s);Left Valley (°);ROM (°);;;;;;;;;;;
Complete;1;790;7.9;19.97;1020;10.2;-19.7;39.67;;;;;;;;;;;
Complete;2;1262;12.62;19.81;1529;15.29;-20.17;39.98;;;;;;;;;;;
Complete;3;1711;17.11;20.22;1954;19.54;-20.58;40.79;;;;;;;;;;;
Complete;4;2159;21.59;19.31;2383;23.83;-19.74;39.06;;;;;;;;;;;
Complete;5;2573;25.73;19.35;2812;28.12;-20.92;40.27;;;;;;;;;;;
Complete;6;3379;33.79;18.97;3602;36.02;-20.4;39.37;;;;;;;;;;;
Complete;7;3812;38.12;19.3;4024;40.24;-21.52;40.82;;;;;;;;;;;
C7;1;790;7.9;20.11;1019;10.19;-20.16;40.26;;;;;;;;;;;
C7;2;1262;12.62;20.06;1529;15.29;-20.56;40.62;;;;;;;;;;;
C7;3;1711;17.11;20.51;1954;19.54;-20.91;41.42;;;;;;;;;;;
C7;4;2159;21.59;19.69;2383;23.83;-20.01;39.7;;;;;;;;;;;
C7;5;2573;25.73;19.64;2812;28.12;-21.37;41.02;;;;;;;;;;;
C7;6;3379;33.79;19.18;3602;36.02;-20.72;39.91;;;;;;;;;;;
C7;7;3812;38.12;19.62;4025;40.25;-21.95;41.58;;;;;;;;;;;
NOT_C7;1;786;7.86;19.64;1018;10.18;-19.4;39.04;;;;;;;;;;;
NOT_C7;2;1262;12.62;19.5;1529;15.29;-19.94;39.45;;;;;;;;;;;
NOT_C7;3;1711;17.11;19.93;1954;19.54;-20.3;40.23;;;;;;;;;;;
NOT_C7;4;2159;21.59;18.96;2383;23.83;-19.44;38.4;;;;;;;;;;;
NOT_C7;5;2573;25.73;19.03;2812;28.12;-20.53;39.57;;;;;;;;;;;
