Movement,Model,Anatomic_Distances,Rep,Left_Peak_frame,Left_Peak_time_s,Left_Peak_deg,Left_Valley_frame,Left_Valley_time_s,Left_Valley_deg,Left_ROM_deg,Right_Peak_frame,Right_Peak_time_s,Right_Peak_deg,Right_Valley_frame,Right_Valley_time_s,Right_Valley_deg,Right_ROM_deg
Shoulder Flex/Ext,C7,PX_C7,2,1717,17.17,152.94,1998,19.98,-50.26,203.2,1575.0,15.75,156.06,1896.0,18.96,-42.74,198.8
Shoulder Flex/Ext,C7,PX_C7,3,2360,23.6,153.54,2649,26.49,-50.0,203.55,2257.0,22.57,155.84,2535.0,25.35,-47.0,202.84
Shoulder Flex/Ext,C7,PX_C7,4,2986,29.86,151.49,3321,33.21,-49.03,200.52,2871.0,28.71,155.55,3149.0,31.49,-45.98,201.52
Shoulder Flex/Ext,C7,PX_C7,5,3637,36.37,151.82,3921,39.21,-42.77,194.59,3484.0,34.84,157.08,3783.0,37.83,-45.7,202.78
Shoulder Flex/Ext,C7,PX_C7,6,4249,42.49,149.64,4554,45.54,-47.66,197.3,4130.0,41.3,157.88,4400.0,44.0,-48.36,206.24
Shoulder Flex/Ext,C7,PX_C7,7,4912,49.12,152.46,5191,51.91,-45.74,198.2,4703.0,47.03,156.29,4960.0,49.6,-41.6,197.89
Shoulder Flex/Ext,C7,IJ_PX_C7,1,983,9.83,153.5,1324,13.24,-49.1,202.61,872.0,8.72,153.64,1173.0,11.73,-42.04,195.68
Shoulder Flex/Ext,C7,IJ_PX_C7,2,1717,17.17,152.3,1998,19.98,-50.89,203.2,1575.0,15.75,155.42,1896.0,18.96,-43.38,198.8
Shoulder Flex/Ext,C7,IJ_PX_C7,3,2360,23.6,152.9,2649,26.49,-50.64,203.55,2257.0,22.57,155.2,2535.0,25.35,-47.64,202.84
Shoulder Flex/Ext,C7,IJ_PX_C7,4,2986,29.86,150.85,3321,33.21,-49.67,200.52,2871.0,28.71,154.91,3149.0,31.49,-46.61,201.52
Shoulder Flex/Ext,C7,IJ_PX_C7,5,3637,36.37,151.18,3921,39.21,-43.41,194.59,3484.0,34.84,156.44,3783.0,37.83,-46.34,202.78
Shoulder Flex/Ext,C7,IJ_PX_C7,6,4249,42.49,149.0,4554,45.54,-48.3,197.3,4130.0,41.3,157.24,4400.0,44.0,-49.0,206.24
Shoulder Flex/Ext,C7,IJ_PX_C7,7,4912,49.12,151.82,5191,51.91,-46.38,198.2,4703.0,47.03,155.65,4960.0,49.6,-42.24,197.89
Shoulder Flex/Ext,C7,Perfect,1,983,9.83,156.17,1324,13.24,-46.44,202.61,872.0,8.72,156.31,1173.0,11.73,-39.37,195.68
Shoulder Flex/Ext,C7,Perfect,2,1717,17.17,154.97,1998,19.98,-48.23,203.2,1575.0,15.75,158.09,1896.0,18.96,-40.71,198.8
Shoulder Flex/Ext,C7,Perfect,3,2360,23.6,155.57,2649,26.49,-47.97,203.55,2257.0,22.57,157.87,2535.0,25.35,-44.97,202.84
Shoulder Flex/Ext,C7,Perfect,4,2986,29.86,153.52,3321,33.21,-47.0,200.52,2871.0,28.71,157.58,3149.0,31.49,-43.95,201.52
Shoulder Flex/Ext,C7,Perfect,5,3637,36.37,153.85,3921,39.21,-40.75,194.59,3484.0,34.84,159.11,3783.0,37.83,-43.67,202.78
Shoulder Flex/Ext,C7,Perfect,6,4249,42.49,151.66,4554,45.54,-45.63,197.3,4130.0,41.3,159.91,4400.0,44.0,-46.33,206.24
Shoulder Flex/Ext,C7,Perfect,7,4912,49.12,154.49,5191,51.91,-43.72,198.2,4703.0,47.03,158.32,4960.0,49.6,-39.57,197.89
Shoulder Flex/Ext,NOT_C7,IJ_C7,1,981,9.81,157.53,1323,13.23,-52.75,210.29,872.0,8.72,157.69,1176.0,11.76,-45.18,202.87
Shoulder Flex/Ext,NOT_C7,IJ_C7,2,1715,17.15,155.93,1998,19.98,-54.95,210.88,1572.0,15.72,159.57,1896.0,18.96,-47.17,206.74
Shoulder Flex/Ext,NOT_C7,IJ_C7,3,2331,23.31,156.14,2655,26.55,-54.17,210.31,2251.0,22.51,158.6,2535.0,25.35,-50.16,208.76
Shoulder Flex/Ext,NOT_C7,IJ_C7,4,2986,29.86,153.38,3321,33.21,-53.35,206.73,2871.0,28.71,158.32,3147.0,31.47,-48.46,206.78
Shoulder Flex/Ext,NOT_C7,IJ_C7,5,3637,36.37,153.92,3923,39.23,-47.58,201.51,3475.0,34.75,159.88,3779.0,37.79,-49.31,209.18
Shoulder Flex/Ext,NOT_C7,IJ_C7,6,4246,42.46,151.35,4555,45.55,-53.09,204.44,4129.0,41.29,160.65,4401.0,44.01,-50.56,211.21
Shoulder Flex/Ext,NOT_C7,IJ_C7,7,4914,49.14,154.89,5191,51.91,-51.07,205.96,4702.0,47.02,157.74,4959.0,49.59,-46.06,203.79
Shoulder Flex/Ext,NOT_C7,PX_C7,1,981,9.81,158.81,1323,13.23,-51.48,210.29,872.0,8.72,158.97,1176.0,11.76,-43.9,202.87
Shoulder Flex/Ext,NOT_C7,PX_C7,2,1715,17.15,157.21,1998,19.98,-53.67,210.88,1572.0,15.72,160.84,1896.0,18.96,-45.9,206.74
